"Story","Title","Result","Date","Stability","Duration (s)"
"Verificar la creacion de una organizacion","Verificar la creacion de una unidad de negocio","ERROR","2023-09-01T09:49:16.9687448-05:00[America/Panama]","0.0","26.97"
"Verificar la creacion de una nueva reunion","Verificar que se haya creado una reunion","FAILURE","2023-09-19T14:57:22.3439607-05:00[America/Panama]","0.0","84.14"
